Time,Summary,Icon,Sunrise Time,Sunset Time,Moon Phase,Precipitation Intensity Max,Precipitation Intensity Max Time,Precipitation Probability,Temperature High,Temperature High Time,Temperature Low,Temperature Low Time,Apparent Temperature High,Apparent Temperature High Time,Apparent Temperature Low,Apparent Temperature Low Time,Temperature Minimum,Temperature Minimum Time,Temperature Maximum,Temperature Maximum Time,Apparent Temperature Minimum,Apparent Temperature Minimum Time,Apparent Temperature Max,Apparent Temperature Maximum Time
01-01-2017,Partly cloudy throughout the day.,partly-cloudy-day,01-01-2017 07:22:48,01-01-2017 16:42:09,0.12,0,0,0,46.9,01-01-2017 14:00:00,29.97,01-02-2017 01:00:00,45.85,01-01-2017 15:00:00,29.97,01-02-2017 01:00:00,30.12,01-01-2017 23:00:00,46.9,01-01-2017 14:00:00,30.12,01-01-2017 23:00:00,45.85,01-01-2017 15:00:00
01-02-2017,Light rain throughout the day.,rain,01-02-2017 07:22:52,01-02-2017 16:43:00,0.16,0.025,01-02-2017 15:00:00,0.99,38.47,01-02-2017 13:00:00,37.46,01-03-2017 01:00:00,38.47,01-02-2017 13:00:00,34.32,01-03-2017 07:00:00,29.97,01-02-2017 01:00:00,38.47,01-02-2017 13:00:00,29.97,01-02-2017 01:00:00,38.47,01-02-2017 13:00:00
01-03-2017,Light rain throughout the day.,rain,01-03-2017 07:22:54,01-03-2017 16:43:52,0.19,0.0649,01-03-2017 17:00:00,1,42.11,01-03-2017 16:00:00,39.75,01-04-2017 03:00:00,42.1,01-03-2017 17:00:00,39.75,01-04-2017 03:00:00,37.46,01-03-2017 01:00:00,42.11,01-03-2017 16:00:00,34.32,01-03-2017 07:00:00,42.1,01-03-2017 17:00:00
01-04-2017,Mostly cloudy throughout the day.,rain,01-04-2017 07:22:53,01-04-2017 16:44:46,0.22,0.0152,01-04-2017 00:00:00,0.87,50.3,01-04-2017 14:00:00,24.61,01-05-2017 07:00:00,50.3,01-04-2017 14:00:00,19.01,01-05-2017 07:00:00,32.92,01-04-2017 23:00:00,50.3,01-04-2017 14:00:00,26.63,01-04-2017 23:00:00,50.3,01-04-2017 14:00:00
01-05-2017,Foggy overnight.,partly-cloudy-day,01-05-2017 07:22:50,01-05-2017 16:45:41,0.26,0,0,0,30.85,01-05-2017 14:00:00,26.11,01-06-2017 04:00:00,30.41,01-05-2017 16:00:00,26.11,01-06-2017 04:00:00,24.61,01-05-2017 07:00:00,31.55,01-05-2017 00:00:00,19.01,01-05-2017 07:00:00,30.41,01-05-2017 16:00:00
01-06-2017,Mostly cloudy throughout the day.,partly-cloudy-day,01-06-2017 07:22:45,01-06-2017 16:46:38,0.3,0.0015,01-06-2017 12:00:00,0.26,31.22,01-06-2017 14:00:00,21.77,01-07-2017 08:00:00,30.4,01-06-2017 16:00:00,16.41,01-07-2017 07:00:00,23.4,01-06-2017 23:00:00,31.22,01-06-2017 14:00:00,21.8,01-06-2017 21:00:00,30.4,01-06-2017 16:00:00
01-07-2017,Foggy in the morning and afternoon.,partly-cloudy-day,01-07-2017 07:22:38,01-07-2017 16:47:36,0.33,0.0005,01-07-2017 13:00:00,0.06,21.84,01-07-2017 07:00:00,13.69,01-08-2017 07:00:00,16.95,01-07-2017 08:00:00,6.35,01-08-2017 08:00:00,19,01-07-2017 12:00:00,22.83,01-07-2017 01:00:00,12.41,01-07-2017 12:00:00,22.83,01-07-2017 01:00:00
01-08-2017,Mostly cloudy throughout the day.,partly-cloudy-day,01-08-2017 07:22:28,01-08-2017 16:48:35,0.37,0,0,0,23.34,01-08-2017 15:00:00,8.4,01-09-2017 07:00:00,15.16,01-08-2017 15:00:00,8.4,01-09-2017 07:00:00,13.69,01-08-2017 07:00:00,23.34,01-08-2017 15:00:00,6.35,01-08-2017 08:00:00,15.16,01-08-2017 15:00:00
01-09-2017,Partly cloudy throughout the day.,partly-cloudy-day,01-09-2017 07:22:17,01-09-2017 16:49:36,0.41,0,0,0,22.07,01-09-2017 15:00:00,10.84,01-10-2017 04:00:00,22.07,01-09-2017 15:00:00,10.84,01-10-2017 04:00:00,8.4,01-09-2017 07:00:00,22.07,01-09-2017 15:00:00,8.4,01-09-2017 07:00:00,22.07,01-09-2017 15:00:00
01-10-2017,Rain in the morning and overnight.,partly-cloudy-day,01-10-2017 07:22:03,01-10-2017 16:50:38,0.45,0.0037,01-10-2017 23:00:00,0.28,34.52,01-10-2017 19:00:00,34.52,01-10-2017 19:00:00,34.52,01-10-2017 19:00:00,34.52,01-10-2017 19:00:00,10.84,01-10-2017 04:00:00,39.86,01-10-2017 23:00:00,10.84,01-10-2017 04:00:00,37.4,01-10-2017 23:00:00
