Date,Temperature
1420088400,23.8
1420092000,23.47
1420095600,24.41
1420099200,23.41
1420102800,23.73
1420106400,23.51
1420110000,23.33
1420113600,22.53
1420117200,22.71
1420120800,26.72
1420124400,29.79
1420128000,32.01
1420131600,34.32
1420135200,36.23
1420138800,37.55
1420142400,38.52
1420146000,38.87
1420149600,38.03
1420153200,37.25
1420156800,37.24
1420160400,36.17
1420164000,36.11
1420167600,35.7
1420174800,34.2
1420178400,34.43
1420182000,34.42
1420185600,33.97
1420189200,33.41
1420192800,33.35
1420196400,33.38
1420200000,33.51
1420203600,34.21
1420207200,36.11
1420210800,38.55
1420214400,40.07
1420218000,40.79
1420221600,41.05
1420225200,42.19
1420228800,41.96
1420232400,41.22
1420236000,39.19
1420239600,37.87
1420243200,36.78
1420246800,35.24
1420250400,33.03
1420254000,32.34
1420261200,30.71
1420264800,30.66
1420268400,29.9
1420272000,30.25
1420275600,29.82
1420279200,29.21
1420282800,28.72
1420286400,28.29
1420290000,29.53
1420293600,32.76
1420297200,35.28
1420300800,36.06
1420304400,36.61
1420308000,35.68
1420311600,34.28
1420315200,34.45
1420318800,35.02
1420322400,35.73
1420326000,37.04
1420329600,38.23
1420333200,39.28
1420336800,39.93
1420340400,39.51
1420347600,39.61
1420351200,39.85
1420354800,40.12
1420358400,39.29
1420362000,39.29
1420365600,39.89
1420369200,41.11
1420372800,42
1420376400,42.24
1420380000,43.55
1420383600,44.77
1420387200,46.83
1420390800,48.32
1420394400,49.48
1420398000,50.03
1420401600,52.43
1420405200,53.19
1420408800,53.35
1420412400,52.94
1420416000,53.82
1420419600,52.99
1420423200,52.76
1420426800,51.64
1420434000,49.08
1420437600,46.93
1420441200,45.25
1420444800,43.5
1420448400,42.52
1420452000,41.42
1420455600,40.69
1420459200,39.1
1420462800,38.41
1420466400,37.78
1420470000,37.18
1420473600,36.51
1420477200,36.2
1420480800,35.5
1420484400,34.99
1420488000,33.79
1420491600,32.69
1420495200,30.89
1420498800,29.53
1420502400,28.15
1420506000,25.99
1420509600,24.91
1420513200,23.23
1420520400,21.38
1420524000,20.69
1420527600,20.05
1420531200,19.82
1420534800,19.96
1420538400,19.98
1420542000,19.89
1420545600,20.08
1420549200,18.7
1420552800,17.76
1420556400,17.93
1420560000,19.14
1420563600,19.58
1420567200,20.17
1420570800,20.7
1420574400,20.83
1420578000,20.86
1420581600,20.17
1420585200,19.3
1420588800,18.39
1420592400,18.5
1420596000,18.34
1420599600,17.41
1420606800,15.93
1420610400,16.08
1420614000,17.19
1420617600,18.6
1420621200,18.82
1420624800,19.36
1420628400,19.24
1420632000,19.91
1420635600,20.4
1420639200,21.37
1420642800,22.33
1420646400,22.86
1420650000,22.24
1420653600,22.58
1420657200,22.17
1420660800,21.06
1420664400,20.39
1420668000,18.38
1420671600,16.21
1420675200,14.26
1420678800,12.13
1420682400,11.4
1420686000,10.37
1420693200,9.47
1420696800,8.87
1420700400,8.6
1420704000,8.47
1420707600,8.01
1420711200,8.34
1420714800,8.54
1420718400,8.35
1420722000,9.05
1420725600,11.46
1420729200,13.77
1420732800,17.41
1420736400,17.86
1420740000,18.99
1420743600,19.83
1420747200,20.16
1420750800,19.41
1420754400,18.59
1420758000,17.55
1420761600,16.27
1420765200,15.74
1420768800,15.49
1420772400,15.94
1420779600,17.36
1420783200,18.54
1420786800,19.5
1420790400,20.41
1420794000,22.28
1420797600,23.22
1420801200,23.72
1420804800,21.84
1420808400,22.65
1420812000,23.44
1420815600,25.21
1420819200,27.21
1420822800,30.72
1420826400,31.62
1420830000,32.13
1420833600,31.6
1420837200,31.39
1420840800,30.24
1420844400,29.97
1420848000,28.88
1420851600,27.56
1420855200,26.4
1420858800,25.17
1420866000,23
1420869600,21.85
1420873200,21.14
1420876800,19.53
1420880400,19.06
1420884000,18.19
1420887600,17.51
1420891200,15.98
1420894800,15.74
1420898400,16.21
1420902000,17.24
1420905600,18.45
1420909200,19.5
1420912800,20.71
1420916400,21.69
1420920000,22.55
1420923600,22.21
1420927200,20.93
1420930800,20.44
1420934400,18.98
1420938000,17.81
1420941600,18.34
1420945200,17.77
1420952400,16.77
1420956000,16.19
1420959600,16.82
1420963200,17.49
1420966800,18.05
1420970400,18.47
1420974000,19.16
1420977600,18.73
1420981200,19.06
1420984800,22.14
1420988400,24.16
1420992000,26.4
1420995600,29.06
1420999200,31.41
1421002800,34.38
