Time,Summary,Icon,Precipitation Intensity,Precipitation Probability,Temperature,Apparent Temperature,Dew Point,Humidity,Pressure,Wind Speed,Wind Gust,Wind Bearing,Cloud Cover,UV Index,Visibility
01-01-2017 00:00:00,Overcast,cloudy,0,0,41.21,41.21,26.31,0.55,1012.27,2.55,5.47,224,1,0,9.997
01-01-2017 01:00:00,Overcast,cloudy,0,0,41.45,41.45,26.87,0.56,1012.23,2.73,6.16,237,1,0,9.997
01-01-2017 02:00:00,Overcast,cloudy,0,0,41.82,41.82,27.19,0.56,1012.53,2.67,6.33,236,1,0,9.997
01-01-2017 03:00:00,Overcast,cloudy,0,0,41.93,41.93,26.74,0.55,1012.85,2.68,5.54,238,1,0,9.997
01-01-2017 04:00:00,Mostly Cloudy,partly-cloudy-night,0,0,40.86,40.86,26.34,0.56,1013.7,2.53,4.79,241,0.72,0,9.997
01-01-2017 05:00:00,Mostly Cloudy,partly-cloudy-night,0,0,40.88,40.88,26.3,0.56,1014.41,2.46,5.2,242,0.75,0,9.997
01-01-2017 06:00:00,Partly Cloudy,partly-cloudy-night,0,0,40.07,40.07,26.51,0.58,1015.77,1.91,4.31,245,0.47,0,9.997
01-01-2017 07:00:00,Partly Cloudy,partly-cloudy-night,0,0,39.09,39.09,26.85,0.61,1016.75,1.87,3.85,250,0.4,0,9.997
01-01-2017 08:00:00,Partly Cloudy,partly-cloudy-day,0,0,39.03,39.03,27.29,0.62,1017.91,2.9,4.64,247,0.3,0,9.997
01-01-2017 09:00:00,Clear,clear-day,0,0,42.37,39.8,28.67,0.58,1019.49,4.31,8.68,269,0.1,0,9.997
01-01-2017 10:00:00,Clear,clear-day,0,0,44.23,40.98,28.36,0.53,1020.8,5.69,11.63,294,0.11,1,9.997
01-01-2017 11:00:00,Clear,clear-day,0,0,45.04,41.83,26.61,0.48,1021.55,5.87,11.76,308,0.11,2,9.997
01-01-2017 12:00:00,Clear,clear-day,0,0,46.14,43.68,25.79,0.45,1021.81,5.01,10.17,306,0.02,2,9.997
01-01-2017 13:00:00,Clear,clear-day,0,0,46.6,44.47,23.96,0.41,1021.95,4.63,9.63,308,0,2,9.997
01-01-2017 14:00:00,Clear,clear-day,0,0,46.9,45.61,22.95,0.39,1022.28,3.6,8.28,307,0,1,9.997
01-01-2017 15:00:00,Clear,clear-day,0,0,46.75,45.85,21.8,0.37,1023.26,3.15,6.41,305,0,0,9.997
01-01-2017 16:00:00,Clear,clear-day,0,0,45.68,45.68,21.34,0.38,1024.51,1.67,3.7,297,0,0,9.997
01-01-2017 17:00:00,Clear,clear-night,0,0,42.39,42.39,21.55,0.43,1026.05,0.41,0.8,309,0,0,9.997
01-01-2017 18:00:00,Clear,clear-night,0,0,38.43,38.43,22.11,0.52,1026.83,0.09,0.22,324,0,0,9.997
01-01-2017 19:00:00,Clear,clear-night,0,0,35.43,35.43,22.44,0.59,1027.71,0.07,0.18,0,0,0,9.997
01-01-2017 20:00:00,Clear,clear-night,0,0,33.47,33.47,22.39,0.63,1028.96,0.06,0.09,0,0,0,9.997
01-01-2017 21:00:00,Clear,clear-night,0,0,31.88,31.88,22.29,0.67,1029.43,0.1,0.1,14,0,0,9.997
01-01-2017 22:00:00,Clear,clear-night,0,0,30.66,30.66,22.42,0.71,1030.4,0.06,0.23,0,0,0,9.997
01-02-2017 00:00:00,Clear,clear-night,0,0,30.26,30.26,22.59,0.73,1030.22,0.46,1.02,28,0.04,0,9.997
01-02-2017 01:00:00,Clear,clear-night,0,0,29.97,29.97,22.87,0.75,1030.41,0.24,0.4,9,0,0,9.997
01-02-2017 02:00:00,Clear,clear-night,0,0,30.1,30.1,23.28,0.75,1030.9,0.36,0.53,47,0,0,9.997
01-02-2017 03:00:00,Clear,clear-night,0,0,30.3,30.3,23.74,0.76,1030.93,0.39,0.69,35,0.03,0,9.997
